strain	isotype	pos	perc
AB1	AB1	4456377	78.7426528538737
BRC20067	BRC20067	4456377	74.1767195875655
BRC20263	BRC20263	4456377	62.462797672562
CB4852	CB4852	4456377	52.1802708541918
CB4854	CB4854	4456377	62.6410293029354
CB4856	CB4856	4456377	72.027894562845
CB4932	CB4932	4456377	57.6523734122918
CX11254	CX11254	4456377	48.7628270922563
CX11262	CX11262	4456377	56.249594489381
CX11264	CX11264	4456377	55.06572940495
CX11271	CX11271	4456377	48.3311295428136
CX11276	CX11276	4456377	51.8272596547714
CX11285	CX11285	4456377	65.9771787258555
CX11292	CX11292	4456377	52.3093622937764
CX11307	CX11307	4456377	69.1664371335843
CX11314	CX11314	4456377	59.8782115632826
CX11315	CX11315	4456377	58.4912696754141
DL200	DL200	4456377	29.1278035929897
DL226	DL226	4456377	75.2467207867248
DL238	DL238	4456377	66.2446967720676
ECA1069	ECA1069	4456377	60.7080122208628
ECA1074	ECA1074	4456377	75.6371667495674
ECA1185	ECA1185	4456377	0
ECA1186	ECA1186	4456377	63.9598960691459
ECA1187	ECA1187	4456377	0
ECA1191	ECA1191	4456377	0
ECA1192	ECA1192	4456377	0
ECA1193	ECA1193	4456377	0
ECA1194	ECA1194	4456377	0
ECA1195	ECA1195	4456377	0
ECA1196	ECA1196	4456377	0
ECA1200	ECA1200	4456377	97.0398544732926
ECA1202	ECA1202	4456377	52.906430829513
ECA1206	ECA1206	4456377	0
ECA1208	ECA1208	4456377	83.500908276275
ECA1212	ECA1212	4456377	84.5197405812785
ECA1216	ECA1216	4456377	0
ECA1223	ECA1223	4456377	91.6883850230215
ECA1225	ECA1225	4456377	72.7893742720762
ECA1228	ECA1228	4456377	0
ECA1229	ECA1229	4456377	0
ECA1232	ECA1232	4456377	0
ECA1237	ECA1237	4456377	0
ECA1238	ECA1238	4456377	0
ECA1240	ECA1240	4456377	0
ECA1242	ECA1242	4456377	0
ECA1243	ECA1243	4456377	80.5889708599482
ECA1247	ECA1247	4456377	61.8688229847284
ECA1251	ECA1251	4456377	0
ECA1252	ECA1252	4456377	0
ECA1253	ECA1253	4456377	0
ECA1255	ECA1255	4456377	54.2840375586854
ECA1257	ECA1257	4456377	82.968157841017
ECA1260	ECA1260	4456377	0
ECA1261	ECA1261	4456377	0
ECA1269	ECA1269	4456377	95.7960501932545
ECA1271	ECA1271	4456377	86.5660930207235
ECA1276	ECA1276	4456377	125.600247289702
ECA1278	ECA1278	4456377	0
ECA1281	ECA1281	4456377	0
ECA1283	ECA1283	4456377	0
ECA1284	ECA1284	4456377	88.0044179389199
ECA1286	ECA1286	4456377	0
ECA1287	ECA1287	4456377	77.10801856179
ECA1288	ECA1288	4456377	63.5511583397932
ECA1289	ECA1289	4456377	64.0775461200379
ECA1293	ECA1293	4456377	87.4083851633444
ECA1298	ECA1298	4456377	73.9472885235182
ECA1316	ECA1316	4456377	88.206434159512
ECA1409	ECA1409	4456377	57.3509561750533
ECA1413	ECA1413	4456377	83.3876617282295
ECA1493	ECA1493	4456377	0
ECA1693	ECA1693	4456377	102.649848020136
ECA1713	ECA1713	4456377	0
ECA1717	ECA1717	4456377	0
ECA1725	ECA1725	4456377	0
ECA1751	ECA1751	4456377	78.6068318821166
ECA1757	ECA1757	4456377	75.3252520486542
ECA1761	ECA1761	4456377	0
ECA1769	ECA1769	4456377	47.9893692924267
ECA1793	ECA1793	4456377	0
ECA1805	ECA1805	4456377	87.5681483544908
ECA1807	ECA1807	4456377	86.092885124043
ECA1815	ECA1815	4456377	61.0679970898036
ECA1821	ECA1821	4456377	0
ECA1825	ECA1825	4456377	51.3769077637691
ECA1843	ECA1843	4456377	85.7222431371345
ECA1851	ECA1851	4456377	0
ECA1853	ECA1853	4456377	73.6790317539988
ECA1875	ECA1875	4456377	99.1210074809747
ECA1885	ECA1885	4456377	0
ECA1887	ECA1887	4456377	83.8189921151869
ECA1889	ECA1889	4456377	65.545098517753
ECA1891	ECA1891	4456377	0
ECA189	ECA189	4456377	51.0948080581101
ECA1901	ECA1901	4456377	67.8836252124529
ECA1919	ECA1919	4456377	0
ECA191	ECA191	4456377	33.1292050593973
ECA1925	ECA1925	4456377	0
ECA1937	ECA1937	4456377	0
ECA1939	ECA1939	4456377	88.1671949617817
ECA1943	ECA1943	4456377	74.4503775155743
ECA1969	ECA1969	4456377	0
ECA1977	ECA1977	4456377	63.7111501828656
ECA1997	ECA1997	4456377	0
ECA2041	ECA2041	4456377	103.346134278416
ECA2043	ECA2043	4456377	0
ECA2073	ECA2073	4456377	95.235609615412
ECA2081	ECA2081	4456377	0
ECA2091	ECA2091	4456377	0
ECA2109	ECA2109	4456377	0
ECA2111	ECA2111	4456377	102.429480306117
ECA2151	ECA2151	4456377	103.10264337454
ECA2155	ECA2155	4456377	0
ECA2159	ECA2159	4456377	0
ECA2183	ECA2183	4456377	0
ECA2187	ECA2187	4456377	0
ECA2191	ECA2191	4456377	0
ECA2195	ECA2195	4456377	0
ECA2199	ECA2199	4456377	0
ECA2251	ECA2251	4456377	76.4833054537329
ECA2281	ECA2281	4456377	0
ECA2291	ECA2291	4456377	0
ECA2332	ECA2332	4456377	63.57110117018
ECA2334	ECA2334	4456377	92.2060291192729
ECA2336	ECA2336	4456377	46.7383512544803
ECA2344	ECA2344	4456377	98.4457768307538
ECA2350	ECA2350	4456377	93.7561072386695
ECA2360	ECA2360	4456377	0
ECA2367	ECA2367	4456377	48.2556090003757
ECA2377	ECA2377	4456377	107.098390389693
ECA2417	ECA2417	4456377	0
ECA2437	ECA2437	4456377	85.7596902899177
ECA243	CB4851	4456377	74.765134433475
ECA2443	ECA2443	4456377	105.595070449051
ECA2452	ECA2452	4456377	96.2736190060292
ECA2467	ECA2467	4456377	70.839043107161
ECA246	CB4853	4456377	36.9531029428549
ECA2473	ECA2473	4456377	83.7283990736435
ECA2475	ECA2475	4456377	78.5350918774702
ECA2481	ECA2481	4456377	70.0159628500943
ECA2482	ECA2482	4456377	80.8150998296292
ECA2489	ECA2489	4456377	0
ECA248	CB4855	4456377	76.3950825795347
ECA250	CB4857	4456377	75.1608130606089
ECA251	CB4858	4456377	65.4356995206759
ECA2522	ECA2522	4456377	104.094373770233
ECA2523	ECA2523	4456377	121.92492623757
ECA2527	ECA2527	4456377	140.181077324698
ECA2529	ECA2529	4456377	73.6743091888269
ECA2533	ECA2533	4456377	56.5177823962815
ECA2536	ECA2536	4456377	59.6043209636216
ECA2546	ECA2546	4456377	102.296143772287
ECA2549	ECA2549	4456377	106.791966002226
ECA2551	ECA2551	4456377	60.3767644511249
ECA2554	ECA2554	4456377	75.6546931623591
ECA2555	ECA2555	4456377	80.1319810443331
ECA2559	ECA2559	4456377	59.0645811181376
ECA2560	ECA2560	4456377	48.7859463686246
ECA2561	ECA2561	4456377	95.776671588432
ECA2565	ECA2565	4456377	126.389951195717
ECA2568	ECA2568	4456377	109.522265315917
ECA2581	ECA2581	4456377	38.6177603705324
ECA2583	ECA2583	4456377	87.7967389164125
ECA2584	ECA2584	4456377	74.6738755523848
ECA2594	ECA2594	4456377	84.7463373343756
ECA2595	ECA2595	4456377	108.147041243276
ECA259	PB306	4456377	55.2322042855861
ECA2601	ECA2601	4456377	49.8935715776017
ECA2602	ECA2602	4456377	77.1176259040719
ECA2603	ECA2603	4456377	96.1262180494044
ECA2607	ECA2607	4456377	73.7358677674723
ECA2609	ECA2609	4456377	103.800492165872
ECA2612	ECA2612	4456377	83.9689519544258
ECA2615	ECA2615	4456377	101.528918663426
ECA2641	ECA2641	4456377	112.033979426144
ECA2648	ECA2648	4456377	63.8549011685502
ECA2656	ECA2656	4456377	129.073097875169
ECA2659	ECA2659	4456377	94.4880334321418
ECA2660	ECA2660	4456377	128.510547624121
ECA2672	ECA2672	4456377	60.4792644028094
ECA2676	ECA2676	4456377	93.8754967986966
ECA347	ECA347	4456377	0
ECA348	ECA348	4456377	80.1214968508644
ECA349	ECA349	4456377	70.108391251202
ECA363	ECA363	4456377	0
ECA369	ECA369	4456377	94.433760383502
ECA36	ECA36	4456377	0
ECA372	ECA372	4456377	84.4509729896695
ECA396	ECA396	4456377	55.5760822440536
ECA592	ECA592	4456377	75.5290362495531
ECA593	ECA593	4456377	65.7279047110563
ECA594	ECA594	4456377	93.4039925502047
ECA640	ECA640	4456377	96.1192126862699
ECA701	ECA701	4456377	71.2727230596332
ECA703	ECA703	4456377	0
ECA705	ECA705	4456377	81.3636442612044
ECA706	ECA706	4456377	0
ECA710	ECA710	4456377	115.483916951322
ECA712	ECA712	4456377	70.450868852633
ECA722	ECA722	4456377	81.3734334778709
ECA723	ECA723	4456377	0
ECA724	ECA724	4456377	0
ECA730	ECA730	4456377	0
ECA732	ECA732	4456377	50.2482720473794
ECA733	ECA733	4456377	0
ECA738	ECA738	4456377	48.808863356201
ECA740	ECA740	4456377	0
ECA741	ECA741	4456377	0
ECA742	ECA742	4456377	0
ECA743	ECA743	4456377	34.45038938289
ECA744	ECA744	4456377	0
ECA745	ECA745	4456377	52.295257155981
ECA746	ECA746	4456377	0
ECA760	ECA760	4456377	82.7934443617898
ECA768	ECA768	4456377	0
ECA777	ECA777	4456377	63.9917339399826
ECA778	ECA778	4456377	90.2870813397129
ECA807	ECA807	4456377	0
ECA812	ECA812	4456377	0
ECA923	ECA923	4456377	99.1542595969547
ECA928	ECA928	4456377	66.0043776738633
ECA930	ECA930	4456377	54.8927330452893
ED3005	ED3005	4456377	56.0974937559211
ED3011	ED3011	4456377	55.462053836199
ED3012	ED3012	4456377	34.7786472599777
ED3017	ED3017	4456377	55.2258672169588
ED3040	ED3040	4456377	49.9150953358087
ED3046	ED3046	4456377	70.931420188302
ED3048	ED3048	4456377	49.4305246094722
ED3049	ED3049	4456377	61.6056301316304
ED3052	ED3052	4456377	55.7009002388388
ED3073	ED3073	4456377	62.0112912592705
ED3077	ED3077	4456377	59.5272782979633
EG4347	EG4347	4456377	43.6488119793589
EG4349	EG4349	4456377	72.0091844935135
EG4724	EG4724	4456377	66.4738283446897
EG4725	EG4725	4456377	52.0337261338507
EG4946	EG4946	4456377	48.5640711631536
GXW1	GXW1	4456377	44.6845880948023
JR4305	JR4305	4456377	78.962873091174
JT11398	JT11398	4456377	62.4133291938322
JU1088	JU1088	4456377	60.3873997639986
JU1172	JU1172	4456377	46.3733393544765
JU1200	JU1200	4456377	44.0033588102848
JU1212	JU1212	4456377	42.1382202562188
JU1213	JU1213	4456377	47.4999081138128
JU1242	JU1242	4456377	69.2058679647536
JU1246	JU1246	4456377	52.2855142212491
JU1249	JU1249	4456377	67.1128038236587
JU1395	JU1395	4456377	35.071235721703
JU1400	JU1400	4456377	50.8775453636119
JU1409	JU1409	4456377	52.5689891915857
JU1440	JU1440	4456377	53.9738549557324
JU1491	JU1491	4456377	47.0354931538745
JU1530	JU1530	4456377	83.055895061197
JU1543	JU1543	4456377	77.9723506413028
JU1568	JU1568	4456377	71.4804952630789
JU1581	JU1581	4456377	47.9699872737556
JU1586	JU1586	4456377	53.433270075308
JU1652	JU1652	4456377	83.9050753136955
JU1666	JU1666	4456377	60.1433720167587
JU1792	JU1792	4456377	84.4394041218637
JU1793	JU1793	4456377	64.8458558107632
JU1808	JU1808	4456377	59.9725182834776
JU1896	JU1896	4456377	0
JU1934	JU1934	4456377	52.5688598894256
JU2001	JU2001	4456377	58.0548564847656
JU2007	JU2007	4456377	52.1357639151529
JU2016	JU2016	4456377	66.8551158408159
JU2017	JU2017	4456377	63.2632956768811
JU2106	JU2106	4456377	0
JU2131	JU2131	4456377	60.2439547755053
JU2141	JU2141	4456377	50.2667111185198
JU2234	JU2234	4456377	70.4803085193408
JU2250	JU2250	4456377	82.1593472661684
JU2257	JU2257	4456377	47.4478040812657
JU2316	JU2316	4456377	80.584196530114
JU2464	JU2464	4456377	45.2995833535839
JU2466	JU2466	4456377	89.8422465501883
JU2478	JU2478	4456377	65.0765158454959
JU2513	JU2513	4456377	72.347290617666
JU2519	JU2519	4456377	69.116192871129
JU2522	JU2522	4456377	96.8763030953027
JU2526	JU2526	4456377	53.5215929996365
JU2534	JU2534	4456377	97.2227206117411
JU2565	JU2565	4456377	60.8156042391647
JU2566	JU2566	4456377	79.1519589213014
JU2570	JU2570	4456377	86.9298526585522
JU2572	JU2572	4456377	59.8090846755838
JU2575	JU2575	4456377	58.2485908129543
JU2576	JU2576	4456377	76.4063540845059
JU2578	JU2578	4456377	70.6570978827714
JU2581	JU2581	4456377	56.1581935517247
JU2586	JU2586	4456377	74.1978863191708
JU2587	JU2587	4456377	52.7792068652774
JU258	JU258	4456377	0
JU2592	JU2592	4456377	67.8238925433829
JU2593	JU2593	4456377	73.6149777454473
JU2600	JU2600	4456377	59.3613637501748
JU2610	JU2610	4456377	96.2109589988062
JU2619	JU2619	4456377	73.9429839375628
JU2800	JU2800	4456377	69.4095263769077
JU2811	JU2811	4456377	57.9232406878778
JU2825	JU2825	4456377	62.4347804482135
JU2829	JU2829	4456377	67.6151836373917
JU2838	JU2838	4456377	44.1150244172033
JU2841	JU2841	4456377	50.3957688532944
JU2853	JU2853	4456377	72.0835101033485
JU2862	JU2862	4456377	48.7528004249718
JU2866	JU2866	4456377	83.7766326888349
JU2878	JU2878	4456377	66.1304154480421
JU2879	JU2879	4456377	73.4608785818095
JU2906	JU2906	4456377	55.3382078853046
JU2907	JU2907	4456377	36.41121994592
JU310	JU310	4456377	63.3421119796901
JU311	JU311	4456377	77.0437331560454
JU3125	JU3125	4456377	68.6955893375923
JU3127	JU3127	4456377	98.9737056179735
JU3128	JU3128	4456377	93.131727225097
JU3132	JU3132	4456377	80.7838030915473
JU3134	JU3134	4456377	74.0620970547904
JU3135	JU3135	4456377	53.363390938281
JU3137	JU3137	4456377	98.476447747042
JU3140	JU3140	4456377	85.465281058101
JU3141	JU3141	4456377	69.4728007767288
JU3144	JU3144	4456377	53.3007186106207
JU3166	JU3166	4456377	61.8270887968099
JU3167	JU3167	4456377	73.8989292354341
JU3169	JU3169	4456377	60.6811222257867
JU3224	JU3224	4456377	60.7891679501756
JU3225	JU3225	4456377	99.166895039737
JU3226	JU3226	4456377	0
JU3228	JU3228	4456377	62.1025508706479
JU323	JU323	4456377	67.5901731205946
JU3280	JU3280	4456377	75.6600161693506
JU3282	JU3282	4456377	68.3202913958068
JU3291	JU3291	4456377	79.4693851527023
JU3318	JU3318	4456377	63.010855294089
JU346	JU346	4456377	53.2441876384239
JU360	JU360	4456377	96.7582345622421
JU367	JU367	4456377	67.8307840085599
JU3795	JU3795	4456377	90.2484856784496
JU393	JU393	4456377	61.9590075576651
JU394	JU394	4456377	62.4061111449266
JU397	JU397	4456377	60.6431209871481
JU4047	JU4047	4456377	96.81981543433
JU406	JU406	4456377	56.8447443824461
JU4073	JU4073	4456377	88.3354291052265
JU4082	JU4082	4456377	106.611411721638
JU4098	JU4098	4456377	128.685802285884
JU4161	JU4161	4456377	78.989482676534
JU440	JU440	4456377	67.4175495279787
JU561	JU561	4456377	67.1316534078338
JU642	JU642	4456377	2.44639841422867
JU751	JU751	4456377	43.1732600345997
JU774	JU774	4456377	58.4049903325663
JU775	JU775	4456377	68.7986491263402
JU778	JU778	4456377	49.825817555938
JU782	JU782	4456377	88.3538194660959
JU792	JU792	4456377	67.8461903482733
JU830	JU830	4456377	45.2136609745939
JU847	JU847	4456377	53.246948844456
KR314	KR314	4456377	75.5304446792943
LKC34	LKC34	4456377	68.467132693922
MY10	MY10	4456377	46.9984165449942
MY16	MY16	4456377	83.1225802926867
MY18	MY18	4456377	0
MY1	MY1	4456377	80.293954490942
MY2147	MY2147	4456377	89.781538041658
MY2212	MY2212	4456377	70.9832134292566
MY23	MY23	4456377	38.237996564193
MY2453	MY2453	4456377	72.0198100344208
MY2530	MY2530	4456377	75.7256148703964
MY2535	MY2535	4456377	48.287625117824
MY2573	MY2573	4456377	69.1517983284125
MY2585	MY2585	4456377	65.024375605347
MY2693	MY2693	4456377	61.9158166644588
MY2713	MY2713	4456377	88.6291247496158
MY2741	MY2741	4456377	58.0075602360894
MY518	MY518	4456377	60.9768946690649
MY679	MY679	4456377	75.8113543904558
MY772	MY772	4456377	76.9040447823307
MY795	MY795	4456377	57.5005649877115
MY920	MY920	4456377	62.1480711976093
N2	N2	4456377	70.8952884547962
NIC1049	NIC1049	4456377	88.8411503487812
NIC1107	NIC1107	4456377	83.9165379925289
NIC1119	NIC1119	4456377	76.1458741283267
NIC166	NIC166	4456377	64.1967224748042
NIC1698	NIC1698	4456377	53.1263763880469
NIC1700	NIC1700	4456377	99.6555902593278
NIC1772	NIC1772	4456377	97.0094471026359
NIC1773	NIC1773	4456377	91.8315121468825
NIC1775	NIC1775	4456377	98.8835994439062
NIC1779	NIC1779	4456377	67.5082027615381
NIC1780	NIC1780	4456377	97.9276427874662
NIC1782	NIC1782	4456377	90.9003576218829
NIC1783	NIC1783	4456377	112.245712100354
NIC1785	NIC1785	4456377	84.3934208301508
NIC1786	NIC1786	4456377	103.848607271954
NIC1787	NIC1787	4456377	62.1187286610759
NIC1788	NIC1788	4456377	59.0330587179696
NIC1789	NIC1789	4456377	90.1679332146253
NIC1790	NIC1790	4456377	0
NIC1791	NIC1791	4456377	80.5148715324327
NIC1792	NIC1792	4456377	112.954419714071
NIC1794	NIC1794	4456377	73.9265491117609
NIC1796	NIC1796	4456377	91.4402506140862
NIC1798	NIC1798	4456377	75.1237087511929
NIC1799	NIC1799	4456377	59.8245424277459
NIC1801	NIC1801	4456377	102.613836959527
NIC1802	NIC1802	4456377	70.3402910337803
NIC1805	NIC1805	4456377	65.548086645215
NIC1806	NIC1806	4456377	99.947857720291
NIC1808	NIC1808	4456377	83.264714852089
NIC1809	NIC1809	4456377	98.7818186837287
NIC1810	NIC1810	4456377	0
NIC1811	NIC1811	4456377	92.2827468481994
NIC1812	NIC1812	4456377	65.2416242631458
NIC1832	NIC1832	4456377	65.8578078113555
NIC195	NIC195	4456377	0
NIC199	NIC199	4456377	68.5472810677205
NIC1	NIC1	4456377	48.1198728186416
NIC2021	NIC2021	4456377	95.9805017594392
NIC2076	NIC2076	4456377	88.3855818770396
NIC207	NIC207	4456377	54.497456948855
NIC231	NIC231	4456377	52.1210078514236
NIC236	NIC236	4456377	37.9030061799518
NIC242	NIC242	4456377	75.8637027843525
NIC251	NIC251	4456377	0
NIC252	NIC252	4456377	52.4251113031604
NIC255	NIC255	4456377	65.1688099727045
NIC256	NIC256	4456377	79.747237151026
NIC258	NIC258	4456377	73.23235088939
NIC259	NIC259	4456377	67.6796809508555
NIC260	NIC260	4456377	56.271084308075
NIC261	NIC261	4456377	67.9523773754977
NIC262	NIC262	4456377	135.947473416745
NIC265	NIC265	4456377	0
NIC266	NIC266	4456377	63.9528992593676
NIC267	NIC267	4456377	93.3649543852707
NIC268	NIC268	4456377	75.6755983304861
NIC269	NIC269	4456377	65.1745564794526
NIC271	NIC271	4456377	39.6463318432816
NIC272	NIC272	4456377	47.9954373430481
NIC274	NIC274	4456377	59.366022047463
NIC275	NIC275	4456377	83.73481430059
NIC276	NIC276	4456377	62.6405774856754
NIC277	NIC277	4456377	88.0003307368866
NIC2	NIC2	4456377	69.5343050124422
NIC3	NIC3	4456377	63.6171110498044
NIC501	NIC501	4456377	56.3416684831689
NIC511	NIC511	4456377	70.0314553857348
NIC513	NIC513	4456377	59.215361741521
NIC514	NIC514	4456377	66.7251266690297
NIC515	NIC515	4456377	50.3258456196958
NIC522	NIC522	4456377	58.1049805492456
NIC523	NIC523	4456377	76.9709919390032
NIC526	NIC526	4456377	0
NIC527	NIC527	4456377	78.9756572773212
NIC528	NIC528	4456377	0
NIC529	NIC529	4456377	64.5966133161565
PB303	PB303	4456377	60.4525453496869
PS2025	PS2025	4456377	50.5629322537217
PX179	PX179	4456377	62.0104647443222
QG2075	QG2075	4456377	55.2497780647244
QG2811	QG2811	4456377	46.7277317889957
QG2813	QG2813	4456377	72.7696340718929
QG2818	QG2818	4456377	72.5767842235931
QG2823	QG2823	4456377	86.1840468717749
QG2824	QG2824	4456377	67.3948457141154
QG2825	QG2825	4456377	34.7865853658537
QG2827	QG2827	4456377	51.2763673956733
QG2828	QG2828	4456377	52.2539458328356
QG2832	QG2832	4456377	36.0404993554593
QG2835	QG2835	4456377	64.2176891995878
QG2836	QG2836	4456377	102.806827883828
QG2837	QG2837	4456377	84.9664286548784
QG2838	QG2838	4456377	84.1680972420625
QG2841	QG2841	4456377	67.3413330554273
QG2843	QG2843	4456377	70.1677956461037
QG2846	QG2846	4456377	67.526990383801
QG2850	QG2850	4456377	84.1501499940494
QG2854	QG2854	4456377	90.0627198513308
QG2855	QG2855	4456377	51.4532639251279
QG2857	QG2857	4456377	67.2304490980235
QG2873	QG2873	4456377	67.1436834413798
QG2874	QG2874	4456377	70.0307512432632
QG2875	QG2875	4456377	83.7074057667107
QG2877	QG2877	4456377	63.00668616799
QG2932	QG2932	4456377	62.3960357420616
QG4003	QG4003	4456377	72.3264343463618
QG4004	QG4004	4456377	121.990358358898
QG4006	QG4006	4456377	73.8374825990813
QG4008	QG4008	4456377	77.6610265523192
QG4010	QG4010	4456377	85.0718791292522
QG4012	QG4012	4456377	73.1097184419386
QG4015	QG4015	4456377	81.5173005358899
QG4017	QG4017	4456377	70.1304487024598
QG4018	QG4018	4456377	82.6437386208487
QG4021	QG4021	4456377	98.0222057434251
QG4080	QG4080	4456377	54.203895082973
QG4103	QG4103	4456377	95.839094610367
QG4135	QG4135	4456377	112.80068033904
QG4138	QG4138	4456377	56.8765521360536
QG4147	QG4147	4456377	74.5766790898418
QG4151	QG4151	4456377	54.9889686845719
QG4193	QG4193	4456377	48.2460701571937
QG4226	QG4226	4456377	71.00863422292
QG4228	QG4228	4456377	79.0597522904155
QG536	QG536	4456377	77.4624169061842
QG556	QG556	4456377	62.0402584949539
QG557	QG557	4456377	58.7355117747459
QW947	QW947	4456377	48.2904342609633
QX1211	QX1211	4456377	0
QX1212	QX1212	4456377	54.6984953838283
QX1233	QX1233	4456377	67.5433095053725
QX1791	QX1791	4456377	58.4889230116478
QX1792	QX1792	4456377	71.6046991189152
QX1793	QX1793	4456377	42.8239501903365
QX1794	QX1794	4456377	52.5852575375824
RC301	RC301	4456377	51.3639907944342
TWN2530	TWN2530	4456377	74.9665529412149
TWN2542	TWN2542	4456377	78.232577530361
WN2001	WN2001	4456377	0
WN2002	WN2002	4456377	0
WN2033	WN2033	4456377	72.0261492208717
WN2050	WN2050	4456377	79.1464045902262
WN2063	WN2063	4456377	84.7571365832236
WN2064	WN2064	4456377	86.2123467103556
WN2066	WN2066	4456377	70.3397916710684
WN2068	WN2068	4456377	70.4542357041335
WN2069	WN2069	4456377	65.1663405088063
WN2082	WN2082	4456377	53.672431516346
WN2086	WN2086	4456377	119.277048863478
WN2107	WN2107	4456377	88.6434750798591
WN2117	WN2117	4456377	125.845506684066
XZ1513	XZ1513	4456377	57.3370727765365
XZ1514	XZ1514	4456377	0
XZ1515	XZ1515	4456377	65.2678364616045
XZ1516	XZ1516	4456377	0
